reference_number,pdl_company,complaint_text,complaint_followup,category,amount_requested,amount_paid,age_range,consumer_city,consumer_state,tribe_name,tribe_city,tribe_state,lat,lng
46240043,Boulevard Cash,"They are harrassing my friend and my mom by calling them all of the time. I cannot accept personal calls at work and they have be told not to call. If they want payment, then they will have to send something in writing and work out payment options, but I will not give them any information over the telephone. Also, USFast Cash calls and savs I owe them the same amount of monev and I wonder if Boulevard Cash is usina two different names. That didnt start until I had problems with Boulevard Cash.Thank you for your help.",,calls,600,360,,Amarillo,TX,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,35.2219971,-101.8312969
46964083,"Golden Valley Lending, Inc.","I am getting emails and attempts to deposit money into my acct they say it is a signed agreement by me that I agreed to terms but they can not retrieve it do to system error I have not signed anything, but trying to send me 600 for like 2400 in their email to me. they don't seem to care its fraud",,did not apply,,,,Anderson,IN,Habematolel Pomo of Upper Lake,Upper Lake,CA,40.1053196,-85.6802541
45501795,"Golden Valley Lending, Inc.","[This was to be a <30 day loan of $700. The firm claims that I signed something authorizing them to pay back the loan in increments of 20 payments. I contend that they debited my account and pay back the full loan within the 30 days, but they didn't and proceeded to assume that they were authorized to do 20 payments, accruing exhorbitant interest and extending the life of the loan, while not paying down principal. I was told on 2/13 that they would debit the entire amount in full, interest and principal. This is a scam and now they say that I signed an agreement. ",,fees,,,,Briarcliff Manor,NY,Habematolel Pomo of Upper Lake,Upper Lake,CA,41.1402322,-73.840231
50843020,"Golden Valley Lending, Inc.","I have a payday loan through this company. I am set up on an automatic withdrawl for the payments once a month of $101.85. I have recently noticed that there have been debits of $121.85, twice a month. On several occassions I have asked for a letter to be sent to me with the arrangments (payment dates and amounts) to be sent to me and it has been refused. Not only that, but to find out that Payday loans are illegal in NY. I needed to know if I have any recourse regarding this matter and what is it that I can do to stop this from continuing further. ",,illegal|fees,,,,Buffalo,NY,Habematolel Pomo of Upper Lake,Upper Lake,CA,42.8864468,-78.8783689
50353231,National Payday Loan Services,"I was left several messages per day from Eric Smith. I finally returned one of the calls after listening to the voice mails the next day. I was told that I was approved for a $3000 loan even though I only requested $600-$1000. I was told that I needed to purchase a MoneyPak card to pay a $150 Doc fee that would be refunded via added to the loan that would be deposited into my account within 15 mins after I gave the MoneyPak number & he would stay on the phone with me until I saw the money in my account. Then I was told it was taking longer than he thought so he would call me back in 20 mins to complete the deposit of the loan. After 30 mins, I called back and didn't use the extension he gave me just the main number in which he answered. Was put back on hold to check on the loan and then told that their IRS department is requiring me to pay an additional $190 before they release the funds into my account and again this would be refunded back now increasing my loan to $3,340. I was transferred to Michael in the IRS Tax department and I questioned why the additional amount. I was told it was due to my credit score being low. When asked what guarantee do I have that there won't be another amount asked from me since this would be everything I had and this is why I was trying to obtain a payday loan. He assure me that this would be the last and finally payment and that he too would stay on the phone with me once I purchased another MoneyPak card and he applied it to loan for the IRS. However once I did purchase another card and called Michael back (again without using the extension give, just the main number and he answered) with the information for the additional $190 I was put on hold then given a transaction number of the deposit of the loan into my account. Then all of a sudden put back on hold and transferred to the BBI department and spoke to a Bruce Haines (told to be the head of the IRS department) I was told by him that I needed to insure my loan with an additional $160 via another MoneyPak card. At this point I've been on the phone with this company from 11am and it was 4pm. I refused to give them anymore money and requested that my $340 that was promised to be refunded anyway be deposited into my account within 10 mins because I felt I was being taken advantage of and this was a scam. I was transferred back to Sam (Loan Officer's Head Manager) for the refund and closeout of the loan. Sam said he didn't have the power to do so and that Bruce in BBI now housed the loan & is the only one that can release it or return my money & there would be a $30 fee and would take 45 days. Bruce refused to cancel the loan even though I could not afford the additional money & refused to refund my money. I was told to call when I had the money & hung up on. From there I called over and over & was hung up on over and over by everyone who answered which after paying more attention all sounded very much like the same person with a heavy Indian accent. The physically address given, doesn't exist and the zip code is not for NYC. The phone number under search will bring up multiple locations every time entered. This loan was never funded and no loan docs were presented or explained to me once I made the first payment asked for that I would be stuck until I paid the remaining $160. However even if I had it I'm sure there would be another fee asked of me and I would never see the loan. Now they do not answer any calls I place to them.",I will want them to stop faxing and giving out my personal stuff.,fees,500,340,40-49,Burlington,NJ,Guidiville Indian Rancheria,Ukiah,CA,40.071222,-74.8648873
46138656,Harvest Moon Loans,"I have tried to reach this company so many times trying to figure out why Im being billed so much more than what I agreed to and also to find out what else exactly I am supposed to pay. I have sent over 5 emails, called at least 5 times (to which there is no answer and no response to my messages) I am going to block all payments to this company soon because no one will help me. I dont know what to do, but they are draining my bank account and I only borrowed like $250! I dont know what to do because they are taking all my money and wont even explain whats going on or respond to me. I am supposed to get charged AGAIN on 71 and I cant afford for them to take out almost $300 from ANOTHER paycheck. People get loans because they are stuck not so they can get screwed over. I just want to be done with this company so I can never make the mistake of getting an online loan again. Please help because even the bbb is calling this place a scam!",,fees,300,550,,Canton,OH,La Posta Band of Mission Indians,Boulevard,CA,40.7989473,-81.378447
51450699,Silver Cloud Financial,"I borrowed $300 on approximately May 4. The paperwork stated that if I wanted to extend the loan that I would have to contact the lender four days before the due date. I did not want to extend the loan; therefore, I did not contact the lender. However, on my payday, on $75 was withdrawn from my account. The next pay the same thing happened-roughly $75 was withdrawn from my account. I called the lender, and informed the rep that I wanted the ENTIRE amount owed deducted. Again, only a partial amount was taken out. I called the lender again, and I was assured that the total amount due would be taken out of my account on my next paydate. I had money deducted from my account on my last paydate, which was November 22. There is no way on Earth that I would have taken 7 months to pay back $300!!!!!!!!!!! I'm afraid to add up the amount that they have stolen from me because I fear I will have a stroke on the spot because I am SO ANGRY!!!! After speaking with the last representative, I finally figured out that I had been ""had."" They stretched the payments out in order to charge me almost triple the amount that I borrowed with very little going towards the principal. I have filed a complaint in my State of Ohio with the Attorney General's Office, and I filed a complaint with the FTC. However, no one has tried to help me.","I want the money that was stolen, excluding the original amount borrowed, returned to me.",fees,300,,,Canton,OH,Habematolel Pomo of Upper Lake,Upper Lake,CA,40.7989473,-81.378447
44722603,Gallery Cash Now,"After paying the principle loan amount that I borrowed, Gallery Cash Now has called me on a daily basis demanding more money. Today while checking my bank statement I noticed that they had stolen $454 out of my bank account, unauthorized. I am contacting the FTC in hopes that you will do something about this company for its predatory lending practices. Even after I informed them that what they were doing was illegal in my state, they still stole my money. I have since had to close my bank account that I have had since 2007 and reopen a new one. I am at the end of my rope with this company. Please do something about them.",,fees,225,600,30-39,Chesapeake,VA,Guidiville Indian Rancheria,Ukiah,CA,36.7682088,-76.2874927
51674966,Harvest Moon Loans,"I requested a loan for $200.00 on 11/13/13 in which the total charges to incur was stated to be $291.77, to be paid on 11/21/13. I extended this loan and agreed to pay just the fee of $91.77. Since then, every two weeks Harvest Moon has only debited the fee and send me an email stating that I extended my loan yet again. I never signed any documents for an extension. So far I have incurred $371.04 in only fees, as they say that I extended my loan every two weeks. This is an example of the message I get and the one I received today:<br/><br/>Dear <span class=""redacted"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span>: Thank you for giving us the opportunity to serve you. We appreciate your business and the confidence that you have placed in our company. As of 1/16/2014 11:46:54 AM, Loan #<span class=""redacted"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span> was extended and Only Financial Fee will be debited. Your new due date is 1/31/2014 12:00:00 AM.",,fees,,371.04,,Columbia,SC,La Posta Band of Mission Indians,Boulevard,CA,34.0007104,-81.0348144
46473004,National Payday Loan,I took out a payday loan with national-paydayloan.com and could not finish paying it off. This loan is actually illegal in ohio so since I have repaid more than the principal I asked them to count the account as paid and they said no they are tribal lending and are sending a wage attachment ot my employer right now of I do not pay an additional 200. I can not afford this and I feel exploited. Please help. They will not give me an address to mail payments to either they insist on having my new bank account information I have also incurred 1350 in over draft fees because they would not stop the ach withdraw.,,illegal,414,500,,Columbus,OH,Guidiville Indian Rancheria,Ukiah,CA,39.9611755,-82.9987942
