pdl_company,consumer_city,consumer_state,tribe_name,tribe_city,tribe_state,tribe_lat,tribe_lng,consumer_lat,consumer_lng
Clear Loan Solutions,HOLLYWOOD,FL,Big Lagoon Rancheria,Trinidad,CA,41.05756249,-124.1432784,26.03013029,-80.1648528
BLR Tribal Services,Port Charlotte,FL,Big Lagoon Rancheria,Trinidad,CA,41.05756249,-124.1432784,26.99028206,-82.11344826
Minute Funds,PENSACOLA,FL,Big Lagoon Rancheria,Trinidad,CA,41.05756249,-124.1432784,30.421309,-87.2169149
Minute Funds,OAKLAND,CA,Big Lagoon Rancheria,Trinidad,CA,41.05756249,-124.1432784,37.77108878,-122.2249767
Minute Funds,INDIANAPOLIS,IN,Big Lagoon Rancheria,Trinidad,CA,41.05756249,-124.1432784,39.77710046,-86.14634767
Minute Funds,BRONX,NY,Big Lagoon Rancheria,Trinidad,CA,41.05756249,-124.1432784,40.8370495,-73.8654295
Big Eye Lending,Wyomissing,PA,Big Valley Rancheria,Lakeport,CA,39.03919322,-122.9217955,40.3316784,-75.97023576
Tremont Lending,GARWOOD,NJ,Big Valley Rancheria,Lakeport,CA,39.03919322,-122.9217955,40.65124889,-74.32313697
Western Sky Financial,Kaneohe,HI,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,21.40874936,-157.7887952
Western Sky Financial,Hollywood,FL,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,26.03013029,-80.1648528
Western Sky Financial,Hollywood,FL,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,26.03013029,-80.1648528
Lakota Cash,CORAL SPRINGS,FL,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,26.27039548,-80.25888526
Payday Financial,CORAL SPRINGS,FL,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,26.27039548,-80.25888526
Western Sky Financial,Riverview,FL,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,27.82269794,-82.30232262
Western Sky Financial,Mulberry,FL,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,27.90359801,-81.98925421
Payday Financial,Spring Hill,FL,Cheyenne River Sioux Tribe,Eagle Butte,SD,44.99075175,-101.2276168,28.4831682,-82.5369872
